epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4912968575954437,0.0010000000474974513,1.758487343788147,0.815074622631073,0.6162768006324768
1,0.7670237421989441,0.0010000000474974513,0.7114962935447693,0.9302384853363037,0.22015133500099182
2,0.8414945006370544,0.0010000000474974513,0.4808488190174103,0.9596990346908569,0.13532754778862
3,0.8754144310951233,0.0010000000474974513,0.37147626280784607,0.9538324475288391,0.14088191092014313
4,0.9023208618164062,0.0010000000474974513,0.2977035343647003,0.97092205286026,0.08961446583271027
5,0.9120759963989258,0.0010000000474974513,0.2600143253803253,0.9755133390426636,0.07180336117744446
6,0.9269956350326538,0.0010000000474974513,0.21673956513404846,0.9727075695991516,0.07734883576631546
7,0.9316182136535645,0.0010000000474974513,0.19998733699321747,0.9788292050361633,0.06124991551041603
8,0.9365914463996887,0.0010000000474974513,0.18726612627506256,0.9753857851028442,0.07113553583621979
9,0.9476855397224426,0.0010000000474974513,0.15474805235862732,0.9838030934333801,0.04209667444229126
10,0.9482593536376953,0.0010000000474974513,0.15177719295024872,0.9812523722648621,0.05312931537628174
11,0.9528500437736511,0.0010000000474974513,0.1340288668870926,0.9845682978630066,0.04001989588141441
12,0.9538382887840271,0.0010000000474974513,0.13311894237995148,0.981890082359314,0.05427273362874985
13,0.9570262432098389,0.0010000000474974513,0.12330640107393265,0.9871190190315247,0.04135281220078468
14,0.9597997665405273,0.0010000000474974513,0.11741308867931366,0.9841856956481934,0.04816581308841705
