epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
15,0.9571219086647034,9.999999747378752e-06,0.09771960228681564,0.9366152286529541,0.193855419754982
16,0.9641354084014893,9.999999747378752e-06,0.08654764294624329,0.938145637512207,0.1877666711807251
17,0.9695549607276917,9.999999747378752e-06,0.07718221098184586,0.9404412508010864,0.18934302031993866
18,0.9740818738937378,9.999999747378752e-06,0.06748297810554504,0.9447774291038513,0.17438913881778717
19,0.9772379398345947,9.999999747378752e-06,0.06243821978569031,0.9514092803001404,0.15832176804542542
20,0.9806490540504456,9.999999747378752e-06,0.05537707358598709,0.9469455480575562,0.16662806272506714
21,0.984602153301239,9.999999747378752e-06,0.04842537268996239,0.9451600313186646,0.1662774682044983
22,0.9879176020622253,9.999999747378752e-06,0.044840313494205475,0.9506440758705139,0.15477986633777618
23,0.989670991897583,9.999999747378752e-06,0.039665285497903824,0.9523019790649414,0.14231142401695251
24,0.9905636310577393,9.999999747378752e-06,0.03537382557988167,0.9519193768501282,0.15517717599868774
